locality_id,locality_name,district,latitude,longitude,area_type,road_type,police_station_dist_km,hospital_dist_km,nearest_hospital,metro_dist_km,nearest_metro,market_density,school_density,population_density_proxy,baseline_tendency,volatility,night_sensitivity,weekend_sensitivity
L0152,C.R. Park Extension,South,28.50121,77.22706,mixed,arterial,2.29,3.43,Max Hospital Saket,3.21,Saket,5,4,20.5,0.035,0.76,1.156,0.795
L0153,C.R. Park Sector Extension,South,28.48258,77.19035,residential,highway-adjacent,2.44,5.69,Max Hospital Saket,5.39,Saket,2,4,17.6,0.206,0.65,1.331,-0.486
L0154,Defence Colony Phase 2,South,28.49047,77.19165,residential,collector,0.81,5.08,Max Hospital Saket,4.11,Saket,1,4,21.7,-0.002,0.965,0.983,0.046
L0155,Malviya Nagar Extension,South,28.51939,77.22527,residential,local,0.45,1.85,Max Hospital Saket,2.18,Saket,2,3,23.0,1.818,1.247,0.475,0.593
L0156,Malviya Nagar Phase 1,South,28.49306,77.20321,residential,local,1.1,4.41,Max Hospital Saket,3.78,Saket,4,8,20.5,0.793,1.286,1.152,0.154
L0157,Maidan Garhi Extension,South,28.50889,77.19675,residential,collector,0.38,2.98,Max Hospital Saket,2.13,Saket,4,5,21.3,-0.424,1.129,0.356,0.296
L0158,Neb Sarai Phase 2,South,28.50631,77.22629,residential,collector,1.01,2.9,Max Hospital Saket,2.51,Saket,3,4,10.2,0.473,1.5,1.489,-0.505
L0159,Neb Sarai Block C,South,28.50503,77.18698,residential,collector,0.73,3.67,Max Hospital Saket,3.07,Saket,2,5,20.4,0.109,1.61,0.98,-0.726
L0160,Kalkaji,South East,28.56448,77.24126,transit-hub,arterial,1.73,3.43,AIIMS Delhi,0.28,Lajpat Nagar,4,4,22.2,0.384,1.394,0.19,-0.262
L0161,Sarita Vihar,South East,28.55169,77.26037,transit-hub,collector,0.35,3.38,Apollo Hospital Sarita Vihar,1.0,Kalkaji Mandir,5,3,16.6,-0.379,0.538,0.871,-0.75
L0162,Lajpat Nagar,South East,28.54392,77.24173,market-zone,local,1.94,3.45,Max Hospital Saket,2.16,Kalkaji Mandir,10,4,10.2,-0.019,1.148,1.275,0.374
L0163,Govindpuri,South East,28.54406,77.24408,residential,local,1.34,3.16,Max Hospital Saket,1.69,Kalkaji Mandir,1,6,14.2,-0.777,0.476,0.655,1.342
L0164,Hazrat Nizamuddin,South East,28.56949,77.28957,mixed,collector,1.97,3.6,Apollo Hospital Sarita Vihar,4.15,Kalkaji Mandir,2,3,11.6,-0.882,1.249,0.499,1.117
L0165,Jamia Nagar,South East,28.53793,77.28532,residential,collector,2.04,0.73,Apollo Hospital Sarita Vihar,2.85,Kalkaji Mandir,4,5,10.6,0.725,0.754,0.702,0.302
L0166,Okhla,South East,28.56798,77.24656,commercial,arterial,1.12,3.89,AIIMS Delhi,0.67,Lajpat Nagar,5,1,15.9,-0.437,1.529,0.934,1.33
L0167,New Friends Colony,South East,28.54976,77.27624,mixed,collector,0.88,1.9,Apollo Hospital Sarita Vihar,1.8,Kalkaji Mandir,4,3,17.1,0.049,0.975,1.866,-0.251
L0168,Shaheen Bagh,South East,28.5237,77.26305,residential,local,0.37,3.07,Apollo Hospital Sarita Vihar,2.74,Kalkaji Mandir,4,3,14.8,1.35,1.158,0.933,0.12
L0169,Kalindi Kunj,South East,28.56009,77.23766,mixed,local,0.65,3.26,AIIMS Delhi,1.54,Lajpat Nagar,3,5,19.4,2.177,1.145,0.14,0.465
L0170,Sarita Vihar Block A,South East,28.52776,77.24221,transit-hub,collector,0.65,2.68,Max Hospital Saket,2.62,Kalkaji Mandir,5,3,20.8,0.627,0.875,0.634,-0.071
L0171,Sarita Vihar Extension,South East,28.56841,77.24138,transit-hub,collector,0.52,3.53,AIIMS Delhi,0.65,Lajpat Nagar,6,3,17.5,0.978,0.818,1.346,0.153
L0172,Lajpat Nagar Colony,South East,28.53152,77.26163,market-zone,local,1.36,3.34,Apollo Hospital Sarita Vihar,1.86,Kalkaji Mandir,6,3,22.6,0.46,0.703,0.603,-0.726
L0173,Govindpuri Colony,South East,28.54638,77.26749,residential,collector,1.49,2.6,Apollo Hospital Sarita Vihar,0.84,Kalkaji Mandir,4,4,14.8,-0.73,1.086,0.886,0.542
L0174,Jamia Nagar Phase 1,South East,28.54592,77.28487,residential,local,1.3,0.81,Apollo Hospital Sarita Vihar,2.45,Kalkaji Mandir,2,8,19.3,1.479,1.283,1.585,-0.047
L0175,Okhla Colony,South East,28.53382,77.24693,commercial,local,1.95,3.26,Max Hospital Saket,1.72,Kalkaji Mandir,5,3,15.0,0.307,1.212,0.651,-0.944
L0176,New Friends Colony Block C,South East,28.5643,77.26274,residential,collector,0.76,4.34,Apollo Hospital Sarita Vihar,2.04,Kalkaji Mandir,2,7,10.8,0.153,1.365,1.359,0.863
L0177,Shaheen Bagh Colony,South East,28.52042,77.25296,mixed,arterial,2.45,3.62,Max Hospital Saket,2.91,Kalkaji Mandir,2,3,17.7,1.069,0.609,0.985,0.595
L0178,Shaheen Bagh Phase 2,South East,28.56736,77.26556,residential,local,2.07,4.35,Apollo Hospital Sarita Vihar,2.22,Lajpat Nagar,4,6,13.9,-0.944,1.43,0.669,0.562
L0179,Preet Vihar,East,28.63625,77.31002,transit-hub,collector,1.65,6.95,GTB Hospital,2.01,Preet Vihar,6,3,23.4,-2.067,1.471,0.348,0.42
L0180,Mayur Vihar,East,28.6399,77.28684,transit-hub,local,1.46,4.61,LNJP Hospital,0.91,Preet Vihar,4,3,13.9,-0.278,1.198,1.351,0.342
L0181,Ghazipur,East,28.62559,77.31777,residential,arterial,0.69,8.03,LNJP Hospital,2.23,Preet Vihar,1,4,12.5,-0.323,1.017,1.416,0.655
L0182,New Ashok Nagar,East,28.6028,77.29284,residential,local,1.85,7.13,LNJP Hospital,0.43,Mayur Vihar-I,1,6,18.4,-0.708,1.434,0.78,-0.003
L0183,Kalyanpuri,East,28.61502,77.30527,residential,local,0.75,7.11,LNJP Hospital,2.14,Mayur Vihar-I,4,8,17.0,-1.256,1.271,1.15,-0.384
L0184,Madhu Vihar,East,28.62623,77.30752,transit-hub,highway-adjacent,2.44,7.23,LNJP Hospital,1.33,Preet Vihar,6,4,14.7,1.539,1.054,1.525,-1.719
L0185,Shakarpur,East,28.61824,77.30575,mixed,local,1.82,7.52,LNJP Hospital,2.2,Mayur Vihar-I,3,2,11.4,0.586,1.173,0.546,-0.519
L0186,Laxmi Nagar,East,28.60609,77.30893,mixed,collector,1.78,7.31,Apollo Hospital Sarita Vihar,1.88,Mayur Vihar-I,4,2,17.9,-1.062,0.894,0.236,-0.348
L0187,Mandawali,East,28.60778,77.29418,mixed,arterial,1.61,7.0,LNJP Hospital,0.65,Mayur Vihar-I,4,2,17.0,-1.261,0.895,1.15,-0.333
L0188,Patparganj,East,28.60637,77.3113,commercial,collector,2.39,7.61,Apollo Hospital Sarita Vihar,1.77,Mayur Vihar-I,6,1,15.0,1.363,0.757,1.268,-0.709
L0189,Preet Vihar Block A,East,28.63024,77.28523,transit-hub,arterial,0.52,4.67,LNJP Hospital,1.3,Preet Vihar,3,3,17.8,-0.623,1.014,0.572,-0.786
L0190,Ghazipur Block C,East,28.63362,77.31972,residential,collector,1.68,7.71,GTB Hospital,2.44,Preet Vihar,1,8,18.7,-1.429,1.369,0.661,-1.118
L0191,Ghazipur Block A,East,28.60213,77.28987,mixed,arterial,2.02,6.89,LNJP Hospital,0.38,Mayur Vihar-I,5,2,15.9,1.924,1.172,0.474,-0.107
L0192,Laxmi Nagar Block A,East,28.61872,77.29052,mixed,highway-adjacent,2.15,6.26,LNJP Hospital,1.38,Mayur Vihar-I,4,4,16.7,-0.454,0.468,1.646,-0.521
L0193,Mandawali Block C,East,28.63362,77.31418,mixed,collector,1.46,7.49,GTB Hospital,2.33,Preet Vihar,2,4,21.1,-1.703,0.66,0.835,-0.111
L0194,Mansarovar Park,Shahdara,28.66938,77.30557,mixed,collector,0.38,3.49,GTB Hospital,1.89,Shahdara,2,5,28.8,2.284,1.054,0.736,-0.129
L0195,Anand Vihar,Shahdara,28.68612,77.29438,transit-hub,arterial,1.93,2.11,GTB Hospital,2.09,Shahdara,5,3,20.7,-0.762,2.008,1.054,0.486
L0196,Seemapuri,Shahdara,28.66274,77.31106,residential,local,2.26,3.93,GTB Hospital,2.64,Shahdara,2,6,28.5,0.18,0.816,1.252,-0.185
L0197,Gandhi Nagar,Shahdara,28.67842,77.28415,residential,local,1.05,3.87,GTB Hospital,1.25,Shahdara,4,7,25.3,-0.142,1.209,0.498,-0.839
L0198,Krishna Nagar,Shahdara,28.667,77.3118,mixed,collector,0.56,3.43,GTB Hospital,2.28,Shahdara,2,2,18.7,-0.712,0.841,1.235,1.055
L0199,Geeta Colony,Shahdara,28.68629,77.2823,mixed,local,0.46,3.34,GTB Hospital,2.18,Shahdara,3,3,21.2,-0.87,0.905,1.261,0.766
L0200,Vivek Vihar,Shahdara,28.6688,77.28542,transit-hub,local,1.66,4.59,GTB Hospital,0.26,Shahdara,4,4,32.9,1.341,0.564,0.761,-0.025
L0201,Jagatpuri,Shahdara,28.66861,77.31307,residential,collector,1.23,3.72,GTB Hospital,2.53,Shahdara,4,3,23.2,-0.977,0.838,1.166,0.787
L0202,Dilshad Garden,Shahdara,28.66976,77.28426,residential,collector,1.32,4.79,GTB Hospital,1.09,Shahdara,2,5,18.4,-0.727,1.615,1.075,-0.057
L0203,Gandhi Nagar Colony,Shahdara,28.67644,77.30217,mixed,arterial,2.35,2.58,GTB Hospital,1.86,Shahdara,4,2,24.1,1.191,0.816,0.837,-0.494
L0204,Gandhi Nagar Block A,Shahdara,28.67065,77.28381,residential,arterial,0.44,4.02,GTB Hospital,0.83,Shahdara,4,5,26.5,-0.899,0.981,0.633,-0.216
L0205,Geeta Colony Block A,Shahdara,28.66987,77.28836,residential,local,1.88,4.26,GTB Hospital,0.18,Shahdara,4,6,27.5,0.415,0.84,0.766,-0.347
L0206,Geeta Colony Phase 1,Shahdara,28.67888,77.30885,residential,local,2.18,2.27,GTB Hospital,2.34,Shahdara,1,8,18.5,-1.641,0.994,1.4,-1.072
L0207,Vivek Vihar Colony,Shahdara,28.66926,77.29025,transit-hub,arterial,2.47,4.09,GTB Hospital,0.21,Shahdara,3,2,22.3,-0.421,0.725,1.223,-1.196
L0208,Jagatpuri Extension,Shahdara,28.66464,77.2823,residential,collector,1.47,5.32,GTB Hospital,1.44,Shahdara,1,8,18.3,-0.175,1.684,1.103,0.415
L0209,Jagatpuri Phase 2,Shahdara,28.66584,77.30396,mixed,local,2.02,4.32,GTB Hospital,1.24,Shahdara,5,5,27.0,-1.374,0.665,0.661,0.511
L0210,Dwarka Sector 23,Dwarka,28.59587,77.01379,residential,local,1.53,13.71,Deen Dayal Upadhyay Hospital,6.44,Dwarka Sector 21,2,6,9.9,2.46,0.881,0.475,-1.641
L0211,Dwarka North,Dwarka,28.59301,77.00112,residential,arterial,2.22,15.32,Deen Dayal Upadhyay Hospital,7.31,Dwarka Sector 21,2,7,9.6,1.303,0.754,0.48,1.015
L0212,Dwarka South,Dwarka,28.6076,77.02366,mixed,local,1.51,12.89,Deen Dayal Upadhyay Hospital,7.04,Janakpuri West,5,2,7.1,-0.048,1.294,0.896,0.397
L0213,Najafgarh,Dwarka,28.56602,77.06878,residential,local,1.34,11.58,Deen Dayal Upadhyay Hospital,1.7,Dwarka Sector 21,2,4,14.8,-1.381,1.543,1.074,-0.412
L0214,Dabri,Dwarka,28.58328,76.9952,residential,collector,2.44,16.28,Deen Dayal Upadhyay Hospital,7.0,Dwarka Sector 21,4,7,7.3,-0.517,1.013,0.952,-0.199
L0215,Uttam Nagar,Dwarka,28.57643,77.03075,residential,arterial,1.74,13.42,Deen Dayal Upadhyay Hospital,3.56,Dwarka Sector 21,1,7,8.6,-0.854,1.264,0.856,-0.811
L0216,Bindapur,Dwarka,28.60912,77.04933,residential,highway-adjacent,2.35,10.46,Deen Dayal Upadhyay Hospital,4.34,Janakpuri West,2,5,6.8,1.071,0.943,0.915,0.528
L0217,Chhawla,Dwarka,28.5708,77.04288,mixed,local,0.32,13.04,Deen Dayal Upadhyay Hospital,2.71,Dwarka Sector 21,4,3,8.9,0.655,1.049,1.016,0.617
L0218,Mohan Garden,Dwarka,28.56877,77.05597,residential,local,1.48,12.46,Deen Dayal Upadhyay Hospital,1.94,Dwarka Sector 21,2,4,7.7,0.693,0.492,0.851,-0.844
L0219,Dwarka Sector 23 Block B,Dwarka,28.60123,77.04532,residential,local,0.33,10.86,Deen Dayal Upadhyay Hospital,5.06,Janakpuri West,1,3,11.4,1.433,1.51,0.536,-0.553
L0220,Dwarka North Colony,Dwarka,28.58,77.05298,residential,arterial,1.47,11.8,Deen Dayal Upadhyay Hospital,2.88,Dwarka Sector 21,1,8,15.5,0.204,0.674,0.526,-0.658
L0221,Najafgarh Extension,Dwarka,28.60293,76.99939,residential,collector,2.13,14.7,Deen Dayal Upadhyay Hospital,8.29,Dwarka Sector 21,1,5,11.1,-2.065,1.131,0.535,0.462
L0222,Dabri Colony,Dwarka,28.60701,77.04095,residential,local,1.51,11.21,Deen Dayal Upadhyay Hospital,5.05,Janakpuri West,4,7,7.8,0.036,0.621,1.415,-0.126
L0223,Dabri Phase 2,Dwarka,28.57117,77.00124,residential,highway-adjacent,0.76,16.3,Deen Dayal Upadhyay Hospital,5.86,Dwarka Sector 21,4,7,7.2,0.681,0.676,0.579,-1.456
L0224,Uttam Nagar Block B,Dwarka,28.56532,77.01006,residential,local,0.57,16.26,Deen Dayal Upadhyay Hospital,4.66,Dwarka Sector 21,3,5,9.2,-0.563,1.178,1.017,1.08
L0225,Bindapur Block C,Dwarka,28.56574,77.0566,residential,local,1.05,12.21,Deen Dayal Upadhyay Hospital,1.79,Dwarka Sector 21,2,6,15.3,0.82,0.968,1.208,0.282
L0226,Chhawla Phase 1,Dwarka,28.59279,77.04417,mixed,collector,1.58,11.8,Deen Dayal Upadhyay Hospital,5.03,Dwarka Sector 21,2,2,8.2,0.05,0.901,0.44,0.634
L0227,Mohan Garden Phase 2,Dwarka,28.5836,77.0623,residential,local,0.63,10.58,Deen Dayal Upadhyay Hospital,3.69,Dwarka Sector 21,1,8,10.4,1.403,0.514,0.971,-0.266
L0228,Nihal Vihar,Outer,28.6849,77.05587,transit-hub,highway-adjacent,0.39,6.72,Rohini Hospital (BSA),6.99,Janakpuri West,3,4,8.7,-0.667,0.828,1.425,-0.445
L0229,Mundka,Outer,28.69946,77.02321,residential,local,0.9,8.95,Rohini Hospital (BSA),10.38,Janakpuri West,1,4,11.9,-0.915,0.553,0.879,0.267
L0230,Paschim Vihar,Outer,28.70574,77.05215,transit-hub,arterial,0.88,6.13,Rohini Hospital (BSA),7.49,Rohini Sector 18,4,2,10.6,-0.266,1.849,0.714,-0.401
L0231,Nangloi,Outer,28.69587,77.02624,residential,collector,1.45,8.53,Rohini Hospital (BSA),9.22,Janakpuri West,4,4,10.3,-0.832,1.267,1.444,0.08
L0232,Mangol Puri,Outer,28.66364,77.00774,residential,local,1.42,11.83,Rohini Hospital (BSA),8.51,Janakpuri West,4,4,7.0,0.297,1.099,1.49,-0.163
L0233,Ranhola,Outer,28.69293,77.00783,mixed,arterial,2.42,10.34,Rohini Hospital (BSA),10.9,Janakpuri West,5,2,15.3,-0.721,1.212,1.535,0.072
L0234,Sultanpuri,Outer,28.70992,77.05179,mixed,arterial,2.14,5.84,Rohini Hospital (BSA),6.84,Rohini Sector 18,4,5,6.8,0.046,0.987,0.437,0.795
L0235,Raj Park,Outer,28.67256,77.00265,residential,collector,2.06,11.7,Rohini Hospital (BSA),9.75,Janakpuri West,3,7,7.1,-1.164,0.722,0.827,-0.632
L0236,Mundka Block B,Outer,28.66781,77.03414,residential,collector,0.33,8.99,Rohini Hospital (BSA),7.04,Janakpuri West,2,8,10.8,-0.152,1.167,1.17,-0.737
L0237,Paschim Vihar Phase 2,Outer,28.70129,77.02057,transit-hub,highway-adjacent,2.26,9.14,Rohini Hospital (BSA),10.76,Rohini Sector 18,4,2,13.0,1.216,1.302,0.674,0.442
L0238,Paschim Vihar Sector Extension,Outer,28.69171,77.00299,transit-hub,arterial,2.46,11.04,Rohini Hospital (BSA),11.2,Janakpuri West,3,4,11.6,-0.262,0.683,0.808,0.177
L0239,Mangol Puri Block C,Outer,28.70685,77.06688,residential,collector,1.71,4.44,Rohini Hospital (BSA),5.47,Rohini Sector 18,2,8,8.5,-1.828,1.218,0.825,-0.682
L0240,Sultanpuri Colony,Outer,28.67477,77.01947,residential,local,1.5,9.86,Rohini Hospital (BSA),8.26,Janakpuri West,4,6,8.4,0.245,0.681,0.833,0.633
L0241,Raj Park Phase 2,Outer,28.68686,77.01681,mixed,arterial,1.78,9.54,Rohini Hospital (BSA),9.95,Janakpuri West,2,4,12.3,0.363,0.472,1.763,-0.939
L0242,Raj Park Block A,Outer,28.66552,77.0059,residential,collector,1.02,11.94,Rohini Hospital (BSA),9.33,Janakpuri West,1,5,6.1,-1.906,0.903,1.194,-0.323
L0243,Narela,Outer North,28.8143,77.14889,residential,collector,1.49,11.29,Fortis Shalimar Bagh,11.42,Rohini Sector 18,4,4,8.1,0.216,1.101,0.873,-0.988
L0244,Alipur,Outer North,28.72134,77.10465,mixed,collector,1.82,1.41,Rohini Hospital (BSA),2.3,Rohini Sector 18,2,2,6.9,-1.267,1.289,1.13,-0.471
L0245,Samaipur Badli,Outer North,28.79563,77.09579,residential,arterial,0.44,9.08,Rohini Hospital (BSA),9.09,Rohini Sector 18,3,6,7.7,1.497,0.542,1.402,-0.094
L0246,Bawana,Outer North,28.81841,77.10198,residential,collector,1.69,12.05,Rohini Hospital (BSA),11.8,Rohini Sector 18,1,5,7.7,-0.759,0.227,0.039,-0.789
L0247,Shahbad Dairy,Outer North,28.80776,77.08277,residential,local,1.81,11.05,Rohini Hospital (BSA),10.76,Rohini Sector 18,4,8,15.5,0.946,1.513,0.717,0.022
L0248,Swaroop Nagar,Outer North,28.80101,77.09301,mixed,collector,1.99,10.38,Rohini Hospital (BSA),10.13,Rohini Sector 18,3,4,7.6,0.779,0.692,1.274,-0.516
L0249,Bhalswa Dairy,Outer North,28.73163,77.08579,residential,highway-adjacent,0.59,3.46,Rohini Hospital (BSA),4.17,Rohini Sector 18,3,5,15.3,0.533,1.345,1.173,0.517
L0250,Narela Block B,Outer North,28.78708,77.09949,residential,local,1.26,8.39,Rohini Hospital (BSA),7.94,Rohini Sector 18,1,7,10.2,0.157,0.636,1.322,-0.703
L0251,Alipur Colony,Outer North,28.72814,77.14389,mixed,arterial,2.31,1.65,Fortis Shalimar Bagh,2.55,Rohini Sector 18,4,4,14.8,0.463,0.308,1.781,-0.927
L0252,Samaipur Badli Block A,Outer North,28.77167,77.139,residential,collector,1.6,6.22,Fortis Shalimar Bagh,6.28,Rohini Sector 18,3,7,6.5,1.542,1.246,0.678,0.238
L0253,Bawana Extension,Outer North,28.74308,77.13294,mixed,local,0.9,4.22,Fortis Shalimar Bagh,3.48,Rohini Sector 18,2,2,15.8,-1.623,1.185,1.234,-0.271
L0254,Bawana Block A,Outer North,28.75037,77.07326,mixed,arterial,1.54,6.04,Rohini Hospital (BSA),6.08,Rohini Sector 18,3,5,14.1,-0.169,1.187,1.263,-0.024
L0255,Swaroop Nagar Colony,Outer North,28.7884,77.07119,residential,collector,2.19,9.14,Rohini Hospital (BSA),9.86,Rohini Sector 18,3,3,13.1,-0.46,1.14,0.812,0.527
L0256,Swaroop Nagar Block A,Outer North,28.80879,77.13858,mixed,collector,0.73,10.24,Fortis Shalimar Bagh,10.83,Rohini Sector 18,4,5,6.1,-0.152,1.307,1.023,0.195
L0257,Rohini Sector 3,Rohini,28.71942,77.13531,residential,local,1.57,1.91,Fortis Shalimar Bagh,1.64,Rohini Sector 18,1,8,10.1,-1.036,0.757,1.077,-0.227
L0258,Vijay Vihar,Rohini,28.70433,77.13465,transit-hub,arterial,2.15,2.46,Rohini Hospital (BSA),0.53,Pitampura,6,4,13.1,-0.489,0.973,0.5,-0.092
L0259,Rohini Sector 7,Rohini,28.7026,77.0828,residential,local,0.37,3.0,Rohini Hospital (BSA),4.59,Rohini Sector 18,1,7,10.4,0.337,1.376,1.01,-0.095
L0260,Prem Nagar,Rohini,28.70108,77.13718,mixed,arterial,2.41,2.28,Fortis Shalimar Bagh,0.34,Pitampura,5,4,13.0,-0.456,1.009,0.336,-0.787
L0261,Begampur,Rohini,28.74455,77.12999,residential,local,2.12,3.92,Rohini Hospital (BSA),3.47,Rohini Sector 18,1,8,10.2,1.675,1.305,0.986,-0.128
L0262,Budh Vihar,Rohini,28.74825,77.09114,transit-hub,arterial,2.43,4.41,Rohini Hospital (BSA),4.83,Rohini Sector 18,4,4,7.9,0.289,0.675,1.309,0.736
L0263,Rohini Sector 16,Rohini,28.7429,77.08152,residential,collector,2.0,4.83,Rohini Hospital (BSA),5.45,Rohini Sector 18,1,3,9.4,-1.51,0.272,1.001,-0.382
L0264,Prashant Vihar,Rohini,28.7436,77.08409,transit-hub,arterial,2.16,4.58,Rohini Hospital (BSA),5.36,Rohini Sector 18,6,2,9.2,-2.298,1.11,0.6,0.457
L0265,Aman Vihar,Rohini,28.71882,77.08301,transit-hub,highway-adjacent,1.61,2.66,Rohini Hospital (BSA),4.47,Rohini Sector 18,4,3,8.7,1.221,1.332,0.721,-0.135
L0266,Kanjhawala,Rohini,28.73198,77.09728,residential,local,1.4,2.96,Rohini Hospital (BSA),3.32,Rohini Sector 18,1,6,8.4,-1.345,0.391,0.687,-0.067
L0267,Vijay Vihar Block C,Rohini,28.70043,77.1233,transit-hub,arterial,1.61,1.95,Rohini Hospital (BSA),1.26,Pitampura,4,3,10.1,-0.206,0.72,1.235,0.306
L0268,Rohini Sector 7 Colony,Rohini,28.73411,77.13295,residential,local,1.33,3.18,Fortis Shalimar Bagh,2.23,Rohini Sector 18,1,3,9.1,-0.039,1.257,1.021,-0.942
L0269,Prem Nagar Extension,Rohini,28.74694,77.08207,residential,local,0.6,4.76,Rohini Hospital (BSA),5.91,Rohini Sector 18,3,7,14.0,-0.142,1.537,1.774,0.741
L0270,Prem Nagar Colony,Rohini,28.71113,77.12692,mixed,collector,2.37,1.55,Rohini Hospital (BSA),0.84,Rohini Sector 18,5,3,7.2,0.482,0.42,1.025,-0.406
L0271,Kanjhawala Phase 1,Rohini,28.71718,77.12218,mixed,highway-adjacent,0.3,1.53,Rohini Hospital (BSA),0.56,Rohini Sector 18,3,5,7.7,1.275,1.474,1.056,0.394
L0272,Kanjhawala Block A,Rohini,28.71213,77.09716,residential,local,0.76,1.18,Rohini Hospital (BSA),2.48,Rohini Sector 18,3,3,12.7,-1.182,0.941,1.385,0.864
